condition_id,dataset,task,layout_id,data_size,primary_metric,primary_value,secondary_metric,secondary_value
4b,f3,lithology facies classification,layout_003,large,mean_iou_unique_validation_voxels,0.52015474899761338,macro_f1_unique_validation_voxels,0.65931404903659652
4b,f3,lithology facies classification,layout_004,small,mean_iou_unique_validation_voxels,0.36366543848828276,macro_f1_unique_validation_voxels,0.49399151081173209
4b,f3,lithology facies classification,layout_004,medium,mean_iou_unique_validation_voxels,0.40102641380687221,macro_f1_unique_validation_voxels,0.52254004567223522
4b,f3,lithology facies classification,layout_004,large,mean_iou_unique_validation_voxels,0.46471556085723159,macro_f1_unique_validation_voxels,0.61628293990921856
5,f3,lithology facies classification,layout_000,small,mean_iou_unique_validation_voxels,0.37990477336658462,macro_f1_unique_validation_voxels,0.49957904343666454
5,f3,lithology facies classification,layout_000,medium,mean_iou_unique_validation_voxels,0.39565506870386241,macro_f1_unique_validation_voxels,0.52865223598629318
5,f3,lithology facies classification,layout_000,large,mean_iou_unique_validation_voxels,0.44903706083894712,macro_f1_unique_validation_voxels,0.59247883364519138
5,f3,lithology facies classification,layout_001,small,mean_iou_unique_validation_voxels,0.30868659468177689,macro_f1_unique_validation_voxels,0.41545897692977646
5,f3,lithology facies classification,layout_001,medium,mean_iou_unique_validation_voxels,0.37128918968812852,macro_f1_unique_validation_voxels,0.4965410800214613
5,f3,lithology facies classification,layout_001,large,mean_iou_unique_validation_voxels,0.46432429864837799,macro_f1_unique_validation_voxels,0.59937586281446531
5,f3,lithology facies classification,layout_002,small,mean_iou_unique_validation_voxels,0.37596427579888703,macro_f1_unique_validation_voxels,0.5034107377500715
5,f3,lithology facies classification,layout_002,medium,mean_iou_unique_validation_voxels,0.37900942057979464,macro_f1_unique_validation_voxels,0.5238140977749125
5,f3,lithology facies classification,layout_002,large,mean_iou_unique_validation_voxels,0.43783293772489912,macro_f1_unique_validation_voxels,0.57990331016683827
5,f3,lithology facies classification,layout_003,small,mean_iou_unique_validation_voxels,0.35787002949467156,macro_f1_unique_validation_voxels,0.48083984716430922
5,f3,lithology facies classification,layout_003,medium,mean_iou_unique_validation_voxels,0.40107680857225275,macro_f1_unique_validation_voxels,0.53426167947930703
5,f3,lithology facies classification,layout_003,large,mean_iou_unique_validation_voxels,0.44397462242983493,macro_f1_unique_validation_voxels,0.58063687932234986
5,f3,lithology facies classification,layout_004,small,mean_iou_unique_validation_voxels,0.31911416367652384,macro_f1_unique_validation_voxels,0.43464420192003811
5,f3,lithology facies classification,layout_004,medium,mean_iou_unique_validation_voxels,0.35681421593414459,macro_f1_unique_validation_voxels,0.47745204311253625
5,f3,lithology facies classification,layout_004,large,mean_iou_unique_validation_voxels,0.40133011039722932,macro_f1_unique_validation_voxels,0.54092185910118495
6a,f3,lithology facies classification,layout_000,small,mean_iou_unique_validation_voxels,0.40264396927561902,macro_f1_unique_validation_voxels,0.52845238216879642
6a,f3,lithology facies classification,layout_000,medium,mean_iou_unique_validation_voxels,0.46780804303015239,macro_f1_unique_validation_voxels,0.60089623675873016
6a,f3,lithology facies classification,layout_000,large,mean_iou_unique_validation_voxels,0.55581330546930829,macro_f1_unique_validation_voxels,0.69446033625344039
